top200_Celf4_targets,top500_Celf4_targets,parikshak_2016_ctx.M4,parikshak_2016_ctx.M9,parikshak_2016_ctx.M10,parikshak_2016_ctx.M16,parikshak_2016_ctx.M19,parikshak_2016_ctx.M20,psychEncode_ASD_FDR<0.01,psychEncode_ASD_FDR<0.001,psychEncode_SCZ_FDR<10e-5,psychEncode_SCZ_FDR<10e-9,psychEncode_BD_FDR<0.01,psychEncode_BD_FDR<0.001,SFARI_ASD_Candidate,FMRP_targets_Darnell_2014,conserved_CHD8_promoters_Cotney_2015,CPEB4_binding_Parras_2018,Rbfox1_up_target_genes_Lee_2016,All_Rbfox1_regulated_genes_lee_2016,All_Rbfox1_3'UTR_targets_Lee_2016
ENSMUSG00000073664,1110001J03Rik,AGK,TSPAN6,HECW1,RHBDD2,FGR,BZRAP1,HR,HR,GALNT16,GALNT16,ADAMTS2,ADAMTS2,ADNP,ALS2,ATAD3A,Rp2h,1700052N19Rik,Camta1,6-Mar
ENSMUSG00000020653,1200011M11Rik,CACNA2D2,SLC7A2,CSDE1,MAP3K9,CFH,RALA,SERTAD4,SERTAD4,ADAMTS2,ADAMTS2,SLC26A11,SLC26A11,ANK2,PLXND1,ATAD3A,Pan3,5730409E04Rik,Nefm,2900062L11Rik
ENSMUSG00000021215,1300002E11Rik,DNAJC11,CD38,EHD3,SLC6A7,LAP3,JHDM1D,FBLN7,FBLN7,AP000459.4,AP000459.4,LGR6,LGR6,ANKRD11,ARHGAP33,ATAD3A,Tmx3,6330439K17Rik,Vamp1,Adcy1
ENSMUSG00000020717,1500010J02Rik,SYN1,ARSD,CAPN1,MBTPS2,CD99,PROM1,SEMA7A,SEMA7A,ABCG2,ABCG2,MTND1P23,MTND1P23,ARID1B,CREBBP,SSU72,Ube2d3,Abi1,Stx3,App
ENSMUSG00000041688,1500011B03Rik,CAMK1G,PAX6,CXorf56,POLR3B,CFLAR,NADK,ARHGAP6,ARHGAP6,RCSD1,RCSD1,POLR1E,POLR1E,ASH1L,BZRAP1,GNB1,Epha3,Adarb1,Rnf165,Atp2a2
ENSMUSG00000024120,1700012B15Rik,METTL13,MGST1,NCDN,GRAMD1B,SCIN,TMEM159,UBE3A,UBE3A,ASAP3,ASAP3,NLRP1,NLRP1,ASXL3,MYCBP2,MORN1,Rnd3,Ap1ar,Gpr158,Atp2b2
ENSMUSG00000025780,1700020I14Rik,CLCN6,HFE,SARS,AKAP11,TEAD3,OSBPL5,NGEF,NGEF,MAOB,MAOB,USP20,USP20,BAZ2B,TMEM132A,RER1,Dyrk1a,Armc1,Kcnq3,Atp8a1
ENSMUSG00000001518,2610002M06Rik,GABRA3,FYN,ABCF2,KPNA6,PTBP1,RRAGD,ZC3HAV1,ZC3HAV1,LINC00925,LINC00925,ARID5A,ARID5A,BCKDK,CACNA1G,LRRC47,Hey2,Arpp19,6330527O06Rik,B4galt6
ENSMUSG00000027985,2610101N10Rik,ZRANB1,KAL1,AP2S1,ATP6V0A1,SLC11A1,TRIO,ACTR1B,ACTR1B,TMEM176A,TMEM176A,CTD-2008A1.2,CTD-2008A1.2,BCL11A,VPS41,CEP104,Mynn,Atp1a1,Rassf5,Calm1
ENSMUSG00000029570,2610528E23Rik,PTCD2,PIK3C2A,PHF15,STAU2,WWTR1,DSG2,NDRG3,NDRG3,SLC26A11,SLC26A11,PPAT,PPAT,CACNA1D,ARHGAP44,DFFB,Klhl28,Atxn7l3,Lsm11,Camk2b
ENSMUSG00000043614,4930452B06Rik,FSTL4,CHDH,GOPC,WDR37,TYMP,FAM184B,ATP2B2,ATP2B2,PHF17,PHF17,CARTPT,CARTPT,CACNA1H,GAS7,LOC100133612,Dtwd2,B4galt6,5730409E04Rik,Camta1
ENSMUSG00000035202,6330407J23Rik,KIF1B,ATP1A2,PPP1R3F,ATP9A,FAS,ADAMTS6,PDYN,PDYN,LINC00996,LINC00996,SORD,SORD,CACNA2D3,PIGQ,C1orf174,9630041G16Rik,C1qtnf4,Pcnxl2,Cntn1
ENSMUSG00000035226,6330439K17Rik,CS,HGF,DKK3,CYFIP2,TNFRSF1B,LAMC3,ZNF804B,ZNF804B,ITGB4,ITGB4,GSTO2,GSTO2,CEP41,SYN1,RPL22,Arl6ip6,Cacnb4,Fkbp14,Cplx2
ENSMUSG00000044197,6430704M03Rik,PDE4A,SMURF2,PIK3CB,OXR1,NUP160,ZFR,FTL,FTL,CP,CP,RCSD1,RCSD1,CHD2,CDKL5,PHF13,Ccdc88a,Camk2a,Fnbp1l,Ctsb
ENSMUSG00000032434,9430031J16Rik,ATXN3,HSD17B6,TTBK2,PIP4K2C,VCL,COL11A1,C12orf23,C12orf23,PPAT,PPAT,LIPH,LIPH,CHD8,SPAG9,THAP3,Sp3,Camk2b,Npy,Dgke
ENSMUSG00000049922,A030009H04Rik,GRIPAP1,VIM,CDK14,WASL,CP,CDH3,RAB13,RAB13,ALDH1L1,ALDH1L1,GET4,GET4,CIC,CELSR3,THAP3,Tmco5,Camk2g,Cpne4,Elovl4
ENSMUSG00000039831,A330076H08Rik,PRKACA,BTN3A1,PET112,SYT1,PARP12,SNCAIP,GABRA5,GABRA5,C4A,C4A,CRYL1,CRYL1,CNOT3,NFIX,THAP3,Cep290,Camk4,Nat8l,Fam131b
ENSMUSG00000026255,A830018L16Rik,AP1M1,ARHGAP31,HAGH,PDK3,YBX3,KIF26A,NOS2,NOS2,SERPINA3,SERPINA3,GLB1L2,GLB1L2,CNTN4,PKD1,DNAJC11,Metap2,Camkv,Vsnl1,Fut9
ENSMUSG00000021097,A930038C07Rik,PANX2,CAPG,NTHL1,GNB5,POLD1,CECR5,FZD1,FZD1,C5orf49,C5orf49,CAPN5,CAPN5,CNTNAP2,RHOBTB2,PARK7,Ptchd1,Camta1,Mapk9,Gabrg2
ENSMUSG00000079003,AI987944,LZTS1,ZIC2,ATG2B,ATP2B1,CNN2,ARHGAP10,RTKN2,RTKN2,MCM6,MCM6,MZT2A,MZT2A,CTNND2,HEATR5B,CLSTN1,Abhd13,Caprin1,Gabrg2,Glrb
ENSMUSG00000070576,Abca5,CLASP1,GPM6B,PFKP,TRPC5,SBNO2,LIMS2,SLC38A5,SLC38A5,HR,HR,SPRN,SPRN,CUL3,UBE3C,KIF1B,Mcm9,Capza2,Rgs7bp,Gpm6a
ENSMUSG00000031375,Abhd3,AMPH,PREX2,PKM,NSF,GNAI3,ASIC4,SHD,SHD,SLCO2A1,SLCO2A1,DAGLB,DAGLB,CUX1,REV3L,APITD1,Usp25,Ccnd2,Camk2g,Ids
ENSMUSG00000061353,Abt1,PDS5B,HEBP2,IDH3G,IPCEF1,PKN2,TFRC,HAPLN4,HAPLN4,BAG3,BAG3,CYYR1,CYYR1,DDX3X,UQCRC1,APITD1,Ggps1,Clip3,Slmap,Itfg1
ENSMUSG00000032035,Accn1,ATRX,SZRD1,ATP2B3,EIF4G3,MTHFD2,UBE2D1,NCALD,NCALD,TMEM176B,TMEM176B,GCAT,GCAT,DEAF1,NISCH,APITD1-CORT,Trmt13,Cnih,Nrgn,Kcna1
ENSMUSG00000037997,Acsl4,PSMC5,IL17RB,KCNAB2,ADD2,SP100,PTGS2,PEA15,PEA15,IGDCC4,IGDCC4,GZMA,GZMA,DIP2C,IDS,APITD1-CORT,Rcn2,Cntnap1,Plagl1,Kcnd2
ENSMUSG00000047787,Actr10,EPB41L1,RFXANK,DGCR2,KIFAP3,TNFRSF1A,MGLL,PALLD,PALLD,RP11-638F5.1,RP11-638F5.1,LETMD1,LETMD1,DSCAM,FYN,APITD1-CORT,Usp9x,Cplx2,Cdhr1,Lrp11
ENSMUSG00000029307,Acvr1c,SLC9A1,EYA2,SDHA,NCALD,ROCK1,CELSR1,KDM1B,KDM1B,WFS1,WFS1,MPP3,MPP3,DYRK1A,HIVEP2,PTCHD2,Strn3,Cpne4,Clip3,Lsamp
ENSMUSG00000034551,Acvr2a,YPEL3,PHKA1,SNCB,UBE2K,IFI35,UBE2A,RP11-638I8.1,RP11-638I8.1,TSPAN33,TSPAN33,DAW1,DAW1,ERBIN,SYT7,DRAXIN,Dus4l,Cpsf2,Pak1,Mical2
ENSMUSG00000048351,Adcyap1,DLD,FGFR3,DPP8,NRD1,ALPK1,EPB41L2,EMILIN3,EMILIN3,C1orf172,C1orf172,ZNF252P,ZNF252P,FOXP1,LARS2,MAD2L2,Ncoa4,Dpp10,Shroom2,Nat8l
ENSMUSG00000036450,Add2,SLC7A8,RHOBTB3,SLC25A40,VDAC3,IGF2BP2,CHRNA3,RHOBTB1,RHOBTB1,AP000439.1,AP000439.1,TNFSF10,TNFSF10,GABRB3,EXTL3,PRDM2,Nalcn,Elovl4,Kcnip1,Ndfip1
ENSMUSG00000021621,Adnp,CBX5,LAPTM4A,TPD52,TOLLIP,FNDC3B,APOB,NQO1,NQO1,VASH1,VASH1,ALS2CL,ALS2CL,GIGYF2,SRCIN1,PRDM2,Nampt,Eps15,Ap1ar,Nptn
ENSMUSG00000031207,Adrb1,CRTAC1,PYGM,ACTL6B,C5orf22,PAG1,DLL3,CHST11,CHST11,GCAT,GCAT,PRKAB2,PRKAB2,GRIA1,ATP1A2,DDI2,Cldn25,Fam131a,Cntnap1,Nptx1
ENSMUSG00000022329,Aff4,STX1B,TGFBR3,TRIM37,GSK3B,STXBP2,RAPGEF4,RP11-118G23.1,RP11-118G23.1,TMPRSS3,TMPRSS3,DEPDC7,DEPDC7,GRIN2B,PHLDB1,FLJ37453,Acsl4,Fam131b,Nptx1,Pcdhga1
ENSMUSG00000034154,Ahi1,HCN2,CYBRD1,RBFOX1,SMAP2,NFKB2,SEL1L3,PCSK1,PCSK1,ALOX15B,ALOX15B,GCK,GCK,GRIP1,NCDN,SPEN,Cdh11,Fam163b,Hpca,Pgrmc1
ENSMUSG00000022994,Akap11,DEPDC5,ACADVL,DDX1,MAPRE3,IL4R,CDC6,TRIM25,TRIM25,EEF2K,EEF2K,FCRLB,FCRLB,ILF2,NRXN3,FBXO42,Tmem168,Fam168b,Gde1,Ppp3cb
ENSMUSG00000048701,Akap6,FOXRED2,MRVI1,EPB41L3,SEH1L,EDN1,CREM,NABP1,NABP1,LIPH,LIPH,COL6A6,COL6A6,INTS6,GRAMD1B,SZRD1,Ugcg,Flot2,Camkk1,Prrt2
ENSMUSG00000042903,Alg10b,RABGGTA,AHCYL1,PREP,EIF2AK1,B4GALT1,TBC1D10A,DERL1,DERL1,OSMR,OSMR,DCBLD1,DCBLD1,IRF2BPL,PHF20,RCC2,Ccng1,Fpgt,Ccdc85a,Rab10
