"","X.5","X.4","Sample","Subject","Region","Group","SeqBatch","RNAisoBatch","X260.280","X260.230","X","X.1","X.2","X.3","MIA","seqPC1","seqPC2","seqPC3","seqPC4","SeqDepth"
"39673_ACC","39673_ACC","39673_ACC","39673_ACC",39673,"ACC","poly2","2","9/25/2015",2.09,2.04,NA,NA,NA,NA,"MIA",-0.0106686523527523,-0.0631036547416931,0.0618456130276523,0.219790833235316,29635076
"39673_DLPFC","39673_DLPFC","39673_DLPFC","39673_DLPFC",39673,"DLPFC","poly2","1","2/10/2014",2.1,2.14,NA,NA,NA,NA,"MIA",0.189058659978079,0.301722798812645,-0.157621014832939,0.168832852354901,25844893
"39673_HC","39673_HC","39673_HC","39673_HC",39673,"HC","poly2","2","9/21/2015",2.07,2.11,NA,NA,NA,NA,"MIA",0.00686906126468515,-0.0531205208295414,0.0873112535309637,-0.00945536671058059,27046782
"39673_V1","39673_V1","39673_V1","39673_V1",39673,"V1","poly2","2","11/19/2015",2.12,1.95,NA,NA,NA,NA,"MIA",0.0419179224872918,-0.184954093070285,-0.405494699293798,-0.0983470757807324,18841708
"39813_ACC","39813_ACC","39813_ACC","39813_ACC",39813,"ACC","poly1","2","9/25/2015",2.1,1.94,NA,NA,NA,NA,"MIA",0.0104391183848667,-0.0752800257872011,0.0814333175133846,0.174310231187508,28828115
"39813_DLPFC","39813_DLPFC","39813_DLPFC","39813_DLPFC",39813,"DLPFC","poly1","1","2/10/2014",2.12,1.7,NA,NA,NA,NA,"MIA",0.189169203014454,0.240640700502923,-0.107356926926644,-0.0606159567071243,24991319
"39813_HC","39813_HC","39813_HC","39813_HC",39813,"HC","poly1","2","9/21/2015",2.1,2.14,NA,NA,NA,NA,"MIA",0.0260541968422611,-0.0653305072424109,0.12465508880732,-0.0121742132843474,27697433
"39813_V1","39813_V1","39813_V1","39813_V1",39813,"V1","poly1","2","11/19/2015",2.1,2.1,NA,NA,NA,NA,"MIA",0.00591288457575025,-0.0874222443348035,-0.0144679935643162,-0.237262362927549,25779849
"39827_ACC","39827_ACC","39827_ACC","39827_ACC",39827,"ACC","poly1","2","9/25/2015",2.09,2.08,NA,NA,NA,NA,"MIA",-0.0576865487093666,-0.0170564386706804,0.143124502746473,0.00946979436748625,32499145
"39827_DLPFC","39827_DLPFC","39827_DLPFC","39827_DLPFC",39827,"DLPFC","poly1","2","2/19/2014",2.08,1.81,NA,NA,NA,NA,"MIA",-0.318065080237032,0.233761497959868,-0.017783008606069,0.191931460043008,49382659
"39827_HC","39827_HC","39827_HC","39827_HC",39827,"HC","poly1","2","9/21/2015",2.1,2.04,NA,NA,NA,NA,"MIA",0.0192278285843639,-0.0559986934187351,0.100760400417108,-0.00098416920893556,27480156
"39827_V1","39827_V1","39827_V1","39827_V1",39827,"V1","poly1","2","11/19/2015",2.04,1.93,NA,NA,NA,NA,"MIA",0.0809966894002875,-0.0811405399718196,-0.0296258585619525,-0.109857801455647,22224464
"39988_ACC","39988_ACC","39988_ACC","39988_ACC",39988,"ACC","poly1","2","9/25/2015",2.1,2.11,NA,NA,NA,NA,"MIA",0.00406957549602684,-0.0405564647370411,0.125466695741486,0.080907508330947,29624755
"39988_DLPFC","39988_DLPFC","39988_DLPFC","39988_DLPFC",39988,"DLPFC","poly1","1","2/19/2014",2.12,1.8,NA,NA,NA,NA,"MIA",0.234999579777953,0.241640778893923,-0.121640071548972,-0.0220469148084948,23457030
"39988_HC","39988_HC","39988_HC","39988_HC",39988,"HC","poly1","2","9/21/2015",2.1,2.03,NA,NA,NA,NA,"MIA",0.059532908916125,-0.0719345462637784,0.102656402110413,-0.0409035292215402,25666837
