"","WINDOW_SIZE","TOTAL_CLUSTERS","ALIGNED_READS","AT_DROPOUT","GC_DROPOUT"
"39673_ACC_cat.coordSorted.bam",100,57615279,115230558,38.386618,0.456889
"39673_DLPFC_cat.coordSorted.bam",100,38845383,77690766,25.419196,0.000278
"39673_HC_cat.coordSorted.bam",100,59243433,118486866,34.345059,0.217904
"39673_V1_cat.coordSorted.bam",100,59237137,118474274,35.859506,1.264007
"39813_ACC_cat.coordSorted.bam",100,55846988,111693976,38.64267,0.411548
"39813_DLPFC_cat.coordSorted.bam",100,37365289,74730578,24.744754,0.000254
"39813_HC_cat.coordSorted.bam",100,54832859,109665718,33.624527,0.302443
"39813_V1_cat.coordSorted.bam",100,54114650,108229300,31.471956,0.291608
"39827_ACC_cat.coordSorted.bam",100,59308837,118617674,34.932159,0.105967
"39827_DLPFC_cat.coordSorted.bam",100,82782373,165564746,29.581159,4e-05
"39827_HC_cat.coordSorted.bam",100,53115042,106230084,35.358903,0.202023
"39827_V1_cat.coordSorted.bam",100,49195918,98391836,33.289711,0.324211
"39988_ACC_cat.coordSorted.bam",100,54984450,109968900,35.005647,0.298367
"39988_DLPFC_cat.coordSorted.bam",100,34981263,69962526,25.541949,0.005129
"39988_HC_cat.coordSorted.bam",100,50786020,101572040,33.027222,0.276394
"39988_V1_cat.coordSorted.bam",100,56493334,112986668,32.00732,0.172021
"40212_ACC_cat.coordSorted.bam",100,56228147,112456294,38.289302,0.395319
"40212_DLPFC_cat.coordSorted.bam",100,37357992,74715984,25.613573,0.00084
"40212_HC_cat.coordSorted.bam",100,49663987,99327974,36.268635,0.216594
"40212_V1_cat.coordSorted.bam",100,42719282,85438564,32.495762,0.201318
"40295_ACC_cat.coordSorted.bam",100,53076170,106152340,35.270024,0.289732
"40295_DLPFC_cat.coordSorted.bam",100,103511997,207023994,32.326931,0.078568
"40295_HC_cat.coordSorted.bam",100,61085975,122171950,36.544327,0.241101
"40295_V1_cat.coordSorted.bam",100,56157239,112314478,32.326515,0.245728
"40302_ACC_cat.coordSorted.bam",100,58723346,117446692,34.984497,0.260367
"40302_DLPFC_cat.coordSorted.bam",100,107076710,214153420,28.296574,0.092827
"40302_HC_cat.coordSorted.bam",100,55250406,110500812,35.869006,0.358542
"40302_V1_cat.coordSorted.bam",100,59664637,119329274,35.556506,0.119011
"40318_ACC_cat.coordSorted.bam",100,45287094,90574188,35.608204,0.152971
"40318_DLPFC_cat.coordSorted.bam",100,40598489,81196978,26.362568,0.002889
"40318_HC_cat.coordSorted.bam",100,60606577,121213154,37.732943,0.247522
"40318_V1_cat.coordSorted.bam",100,56487493,112974986,34.829452,0.190988
"40335_ACC_cat.coordSorted.bam",100,53636325,107272650,34.992604,0.416799
"40335_DLPFC_cat.coordSorted.bam",100,88683523,177367046,29.635945,0.127981
"40335_HC_cat.coordSorted.bam",100,50294538,100589076,35.408101,0.327418
"40335_V1_cat.coordSorted.bam",100,70195485,140390970,36.138549,0.280962
"40360_ACC_cat.coordSorted.bam",100,63046834,126093668,36.21077,0.47109
"40360_DLPFC_cat.coordSorted.bam",100,43925190,87850380,27.198728,0.000785
"40360_HC_cat.coordSorted.bam",100,65620684,131241368,35.506522,0.351473
"40360_V1_cat.coordSorted.bam",100,58714278,117428556,38.32489,1.888918
"40390_ACC_cat.coordSorted.bam",100,50845246,101690492,33.677237,0.139048
"40390_DLPFC_cat.coordSorted.bam",100,51720649,103441298,26.290842,0.001359
"40390_HC_cat.coordSorted.bam",100,54343449,108686898,37.824308,0.38677
"40390_V1_cat.coordSorted.bam",100,63485072,126970144,35.890985,0.229769
"40478_ACC_cat.coordSorted.bam",100,52959884,105919768,36.311868,0.223625
"40478_DLPFC_cat.coordSorted.bam",100,33666005,67332010,24.767783,0.000351
"40478_HC_cat.coordSorted.bam",100,58803392,117606784,38.816392,0.39201
"40478_V1_cat.coordSorted.bam",100,53853155,107706310,40.745379,2.199526
"40482_ACC_cat.coordSorted.bam",100,68043162,136086324,37.761534,0.366689
"40482_DLPFC_cat.coordSorted.bam",100,46601691,93203382,25.466889,0.000543
"40482_HC_cat.coordSorted.bam",100,61748715,123497430,36.651803,0.406235
"40482_V1_cat.coordSorted.bam",100,48692602,97385204,30.50594,0.115014
