"","TOTAL_READS","PF_READS_ALIGNED","PF_HQ_ALIGNED_READS","PF_ALIGNED_BASES","CODING_BASES","UTR_BASES","INTRONIC_BASES","INTERGENIC_BASES","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","AT_DROPOUT","GC_DROPOUT"
"39673_ACC_cat.coordSorted.bam",46666715,46666715,40671329,6403477819,2266703517,804405263,587596751,2744772288,0.332938,0.68464,0.731156,0.925627,38.386618,0.456889
"39673_DLPFC_cat.coordSorted.bam",35786959,35786959,33478983,4906212557,1775594498,562928818,372453638,2195235603,0.624458,0.800901,0.387167,1.90043,25.419196,0.000278
"39673_HC_cat.coordSorted.bam",46795154,46795154,39271783,6420791950,2075823096,719557008,506257407,3119154439,0.355004,0.64442,0.712326,0.921679,34.345059,0.217904
"39673_V1_cat.coordSorted.bam",45565884,45565884,38149066,6252405931,1401614014,446237331,1366188932,3038365654,0.347156,0.642645,0.721192,0.893785,35.859506,1.264007
"39813_ACC_cat.coordSorted.bam",45050934,45050934,39055035,6182757889,2173166371,753386960,542758805,2713445753,0.347755,0.667941,0.733824,0.920143,38.64267,0.411548
"39813_DLPFC_cat.coordSorted.bam",34823064,34823064,32889265,4774970704,1650869901,578593490,458866447,2086640866,0.654637,0.724173,0.394247,1.707452,24.744754,0.000254
"39813_HC_cat.coordSorted.bam",44215758,44215758,37965360,6067201710,2090573031,732542682,451323313,2792762684,0.339207,0.632343,0.718302,0.886522,33.624527,0.302443
"39813_V1_cat.coordSorted.bam",45792443,45792443,41307851,6284206312,1993862534,678383830,983700328,2628259620,0.350147,0.617258,0.732845,0.858866,31.471956,0.291608
"39827_ACC_cat.coordSorted.bam",50692963,50692963,45766897,6958239953,2598899269,845516570,586709834,2927114280,0.3678,0.642849,0.701886,0.931089,34.932159,0.105967
"39827_DLPFC_cat.coordSorted.bam",73649256,73649256,68360363,10110305303,4259347204,1135436691,987372183,3728149225,0.430989,0.761829,0.600736,1.169897,29.581159,4e-05
"39827_HC_cat.coordSorted.bam",44656366,44656366,39861251,6129244848,2183077451,722626495,593864281,2629676621,0.338798,0.643181,0.697953,0.950931,35.358903,0.202023
"39827_V1_cat.coordSorted.bam",40459822,40459822,35622658,5553496105,1704588565,573713898,802491582,2472702060,0.357317,0.648813,0.694129,0.928828,33.289711,0.324211
"39988_ACC_cat.coordSorted.bam",45512828,45512828,40085263,6245010370,2294913535,803613019,492073070,2654410746,0.346622,0.654436,0.704489,0.934241,35.005647,0.298367
"39988_DLPFC_cat.coordSorted.bam",32011850,32011850,29689911,4390052878,1582649203,420133013,341148542,2046122120,0.742658,0.743554,0.403638,1.581417,25.541949,0.005129
"39988_HC_cat.coordSorted.bam",41356485,41356485,35976821,5676698529,1949092302,675547936,521476007,2530582284,0.339077,0.639328,0.731631,0.902676,33.027222,0.276394
"39988_V1_cat.coordSorted.bam",47255002,47255002,41957831,6486372164,2026996248,665005180,976429273,2817941463,0.351763,0.653073,0.710566,0.922147,32.00732,0.172021
"40212_ACC_cat.coordSorted.bam",46217831,46217831,40737016,6342693344,2293374961,780104046,548144409,2721069928,0.338289,0.664951,0.744813,0.931584,38.289302,0.395319
