"","FILE_NAME","CATEGORY","TOTAL_READS","PF_READS","PCT_PF_READS","PF_NOISE_READS","PF_READS_ALIGNED","PCT_PF_READS_ALIGNED","PF_ALIGNED_BASES","PF_HQ_ALIGNED_READS","PF_HQ_ALIGNED_BASES","PF_HQ_ALIGNED_Q20_BASES","PF_HQ_MEDIAN_MISMATCHES","PF_MISMATCH_RATE","PF_HQ_ERROR_RATE","PF_INDEL_RATE","MEAN_READ_LENGTH","READS_ALIGNED_IN_PAIRS","PCT_READS_ALIGNED_IN_PAIRS","BAD_CYCLES","STRAND_BALANCE","PCT_CHIMERAS","PCT_ADAPTER","SAMPLE","LIBRARY","READ_GROUP"
"1","39673_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",46666715,46666715,1,0,46666715,1,3201790502,40671329,2789566004,2777319163,0,0.002789,0.002769,0.000114,69,46666715,1,0,0.513722,0.003884,0,NA,NA,NA
"2","39673_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",35786959,35786959,1,0,35786959,1,2452239210,33478983,2294030719,2261889217,0,0.007648,0.007284,0.000161,69,35786959,1,0,0.469618,0.004425,0,NA,NA,NA
"3","39673_HC_cat.coordSorted.bam","FIRST_OF_PAIR",46795154,46795154,1,0,46795154,1,3208524002,39271783,2691536203,2620260694,0,0.004472,0.004254,9.7e-05,69,46795154,1,0,0.513303,0.003283,0,NA,NA,NA
"4","39673_V1_cat.coordSorted.bam","FIRST_OF_PAIR",45565884,45565884,1,0,45565884,1,3125699686,38149066,2615591637,2586660950,0,0.003587,0.003684,0.000134,69,45565884,1,0,0.531983,0.003168,0,NA,NA,NA
"5","39813_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",45050934,45050934,1,0,45050934,1,3091092644,39055035,2678883267,2654000444,0,0.002853,0.002836,0.000118,69,45050934,1,0,0.513089,0.003785,0,NA,NA,NA
"6","39813_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",34823064,34823064,1,0,34823064,1,2387465248,32889265,2255034755,2221151273,0,0.006209,0.006097,0.000137,69,34823064,1,0,0.48562,0.00427,0,NA,NA,NA
"7","39813_HC_cat.coordSorted.bam","FIRST_OF_PAIR",44215758,44215758,1,0,44215758,1,3033514016,37965360,2603985264,2593313988,0,0.002818,0.002665,0.000141,69,44215758,1,0,0.507254,0.003514,0,NA,NA,NA
"8","39813_V1_cat.coordSorted.bam","FIRST_OF_PAIR",45792443,45792443,1,0,45792443,1,3142146541,41307851,2833801895,2821770049,0,0.002578,0.002649,0.000126,69,45792443,1,0,0.499113,0.003795,0,NA,NA,NA
"9","39827_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",50692963,50692963,1,0,50692963,1,3478999443,45766897,3140227419,3126479964,0,0.002276,0.00236,0.000102,69,50692963,1,0,0.482284,0.003892,0,NA,NA,NA
"10","39827_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",73649256,73649256,1,0,73649256,1,5055660341,68360363,4692182406,4650372820,0,0.002367,0.002408,0.000113,69,73649256,1,0,0.440727,0.004038,0,NA,NA,NA
"11","39827_HC_cat.coordSorted.bam","FIRST_OF_PAIR",44656366,44656366,1,0,44656366,1,3064492652,39861251,2734710586,2722921642,0,0.002313,0.00241,0.000104,69,44656366,1,0,0.490507,0.003501,0,NA,NA,NA
"12","39827_V1_cat.coordSorted.bam","FIRST_OF_PAIR",40459822,40459822,1,0,40459822,1,2776527707,35622658,2443895491,2433768642,0,0.002604,0.00264,0.000112,69,40459822,1,0,0.500229,0.003394,0,NA,NA,NA
"13","39988_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",45512828,45512828,1,0,45512828,1,3122445189,40085263,2749297813,2737339900,0,0.002689,0.002646,0.000106,69,45512828,1,0,0.509633,0.004116,0,NA,NA,NA
"14","39988_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",32011850,32011850,1,0,32011850,1,2195520932,29689911,2036232733,2007345226,0,0.010423,0.010058,0.000134,69,32011850,1,0,0.452684,0.00419,0,NA,NA,NA
"15","39988_HC_cat.coordSorted.bam","FIRST_OF_PAIR",41356485,41356485,1,0,41356485,1,2838145733,35976821,2468241983,2458050844,0,0.002812,0.002724,0.00011,69,41356485,1,0,0.510028,0.003195,0,NA,NA,NA
"16","39988_V1_cat.coordSorted.bam","FIRST_OF_PAIR",47255002,47255002,1,0,47255002,1,3243388032,41957831,2879115467,2867063812,0,0.002765,0.002746,0.000117,69,47255002,1,0,0.507147,0.003576,0,NA,NA,NA
"17","40212_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",46217831,46217831,1,0,46217831,1,3171432699,40737016,2794557981,2782614010,0,0.002365,0.002459,0.000109,69,46217831,1,0,0.498228,0.003968,0,NA,NA,NA
"18","40212_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",35642638,35642638,1,0,35642638,1,2448431583,34286324,2355249151,2320971555,0,0.002203,0.002124,9.7e-05,69,35642638,1,0,0.349157,0.004298,0,NA,NA,NA
"19","40212_HC_cat.coordSorted.bam","FIRST_OF_PAIR",41448629,41448629,1,0,41448629,1,2844814563,36912013,2532783874,2521770939,0,0.002249,0.002334,0.000103,69,41448629,1,0,0.483964,0.003282,0,NA,NA,NA
"20","40212_V1_cat.coordSorted.bam","FIRST_OF_PAIR",35875909,35875909,1,0,35875909,1,2462242325,31897633,2188577158,2179471872,0,0.002433,0.002552,0.00011,69,35875909,1,0,0.474171,0.003465,0,NA,NA,NA
"21","40295_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",44292341,44292341,1,0,44292341,1,3040389781,39438672,2706482395,2694856089,0,0.002268,0.002369,0.000111,69,44292341,1,0,0.494569,0.004003,0,NA,NA,NA
"22","40295_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",86393935,86393935,1,0,86393935,1,5931483377,76770696,5269410310,5222261296,0,0.002275,0.002383,0.000102,69,86393935,1,0,0.439462,0.004008,0,NA,NA,NA
"23","40295_HC_cat.coordSorted.bam","FIRST_OF_PAIR",51599510,51599510,1,0,51599510,1,3540927931,46477568,3188751840,3174977095,0,0.002358,0.002436,0.000112,69,51599510,1,0,0.495538,0.004074,0,NA,NA,NA
"24","40295_V1_cat.coordSorted.bam","FIRST_OF_PAIR",47185655,47185655,1,0,47185655,1,3237270871,42333555,2903693899,2891009816,0,0.00262,0.002687,0.000121,69,47185655,1,0,0.500671,0.00348,0,NA,NA,NA
"25","40302_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",48644095,48644095,1,0,48644095,1,3337406729,42946807,2945867079,2933912724,0,0.002611,0.002595,0.000122,69,48644095,1,0,0.50821,0.004041,0,NA,NA,NA
"26","40302_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",88220853,88220853,1,0,88220853,1,6047905873,76250821,5225827200,5178826084,0,0.006071,0.006211,0.000144,69,88220853,1,0,0.506628,0.003176,0,NA,NA,NA
"27","40302_HC_cat.coordSorted.bam","FIRST_OF_PAIR",44539892,44539892,1,0,44539892,1,3056089002,38392394,2633565472,2621932717,0,0.002791,0.002721,0.000131,69,44539892,1,0,0.509392,0.003341,0,NA,NA,NA
"28","40302_V1_cat.coordSorted.bam","FIRST_OF_PAIR",48332238,48332238,1,0,48332238,1,3303136514,41776495,2854626928,2843064247,0,0.005283,0.005426,0.000197,69,48332238,1,0,0.507926,0.002943,0,NA,NA,NA
"29","40318_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",38271247,38271247,1,0,38271247,1,2626642180,34440189,2363134129,2353842603,0,0.002188,0.00227,0.000102,69,38271247,1,0,0.490085,0.00377,0,NA,NA,NA
"30","40318_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",38611428,38611428,1,0,38611428,1,2652067193,37060089,2545524151,2507595084,0,0.002148,0.002148,0.000101,69,38611428,1,0,0.356494,0.003852,0,NA,NA,NA
"31","40318_HC_cat.coordSorted.bam","FIRST_OF_PAIR",50245720,50245720,1,0,50245720,1,3448211221,44653697,3063688589,3051600099,0,0.002337,0.002414,0.000108,69,50245720,1,0,0.497236,0.003411,0,NA,NA,NA
"32","40318_V1_cat.coordSorted.bam","FIRST_OF_PAIR",47805274,47805274,1,0,47805274,1,3281261447,43005365,2951137858,2938850673,0,0.002342,0.002418,0.000113,69,47805274,1,0,0.488633,0.003724,0,NA,NA,NA
"33","40335_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",44576511,44576511,1,0,44576511,1,3058764275,39589638,2715840540,2704634065,0,0.002281,0.002382,0.000111,69,44576511,1,0,0.497133,0.003913,0,NA,NA,NA
"34","40335_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",75475130,75475130,1,0,75475130,1,5178610671,68446329,4695339316,4645975779,0,0.002461,0.002548,0.00012,69,75475130,1,0,0.491033,0.003752,0,NA,NA,NA
"35","40335_HC_cat.coordSorted.bam","FIRST_OF_PAIR",42107596,42107596,1,0,42107596,1,2889552642,37715306,2587547766,2576449497,0,0.002316,0.0024,0.00011,69,42107596,1,0,0.495281,0.003662,0,NA,NA,NA
"36","40335_V1_cat.coordSorted.bam","FIRST_OF_PAIR",58080263,58080263,1,0,58080263,1,3985818045,51313816,3520321687,3505427770,0,0.002552,0.002689,0.000112,69,58080263,1,0,0.490192,0.003538,0,NA,NA,NA
"37","40360_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",50347221,50347221,1,0,50347221,1,3453746683,42843514,2937751215,2905531830,0,0.003388,0.003351,0.000108,69,50347221,1,0,0.516644,0.003816,0,NA,NA,NA
"38","40360_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",40725012,40725012,1,0,40725012,1,2792546928,38269094,2624138366,2587267625,0,0.007676,0.007302,0.000151,69,40725012,1,0,0.466938,0.005104,0,NA,NA,NA
"39","40360_HC_cat.coordSorted.bam","FIRST_OF_PAIR",54089560,54089560,1,0,54089560,1,3711539092,47424777,3253292493,3239110409,0,0.002876,0.002825,0.000116,69,54089560,1,0,0.509364,0.003799,0,NA,NA,NA
"40","40360_V1_cat.coordSorted.bam","FIRST_OF_PAIR",43777521,43777521,1,0,43777521,1,3004686507,35594097,2441741879,2430962804,0,0.003067,0.003114,0.000118,69,43777521,1,0,0.516333,0.002924,0,NA,NA,NA
"41","40390_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",43059320,43059320,1,0,43059320,1,2951965843,38786490,2658323225,2563581256,0,0.003722,0.003824,9.4e-05,69,43059320,1,0,0.480816,0.003739,0,NA,NA,NA
"42","40390_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",49328898,49328898,1,0,49328898,1,3389668573,47411833,3257907717,3213568687,0,0.002211,0.002223,1e-04,69,49328898,1,0,0.336776,0.004085,0,NA,NA,NA
"43","40390_HC_cat.coordSorted.bam","FIRST_OF_PAIR",44918482,44918482,1,0,44918482,1,3082458765,39796716,2730230104,2718728022,0,0.002383,0.002483,0.000108,69,44918482,1,0,0.493297,0.003468,0,NA,NA,NA
"44","40390_V1_cat.coordSorted.bam","FIRST_OF_PAIR",52246418,52246418,1,0,52246418,1,3585683907,45845598,3145292258,3131541884,0,0.002618,0.00278,0.000112,69,52246418,1,0,0.482711,0.003366,0,NA,NA,NA
"45","40478_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",44513106,44513106,1,0,44513106,1,3055554835,39910643,2738926088,2726561872,0,0.002331,0.002429,0.000111,69,44513106,1,0,0.49884,0.00406,0,NA,NA,NA
"46","40478_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",31913034,31913034,1,0,31913034,1,2191005637,30578982,2099440903,2068752402,0,0.002256,0.002263,0.000113,69,31913034,1,0,0.369481,0.002963,0,NA,NA,NA
"47","40478_HC_cat.coordSorted.bam","FIRST_OF_PAIR",48162607,48162607,1,0,48162607,1,3305404038,42294111,2901764159,2889146897,0,0.002329,0.002444,0.000106,69,48162607,1,0,0.490352,0.003538,0,NA,NA,NA
"48","40478_V1_cat.coordSorted.bam","FIRST_OF_PAIR",40205896,40205896,1,0,40205896,1,2759930139,32837603,2252795563,2242897659,0,0.00262,0.002918,0.000126,69,40205896,1,0,0.523629,0.002928,0,NA,NA,NA
"49","40482_ACC_cat.coordSorted.bam","FIRST_OF_PAIR",54887294,54887294,1,0,54887294,1,3766378888,47362925,3249117428,3235160177,0,0.002724,0.002672,0.000123,69,54887294,1,0,0.510992,0.003813,0,NA,NA,NA
"50","40482_DLPFC_cat.coordSorted.bam","FIRST_OF_PAIR",42964978,42964978,1,0,42964978,1,2945889277,40184564,2755377087,2711477640,0,0.008224,0.00813,0.000123,69,42964978,1,0,0.48379,0.003711,0,NA,NA,NA
"51","40482_HC_cat.coordSorted.bam","FIRST_OF_PAIR",49305524,49305524,1,0,49305524,1,3382345855,42241204,2896883390,2860929032,0,0.003039,0.002961,0.000124,69,49305524,1,0,0.50941,0.003355,0,NA,NA,NA
"52","40482_V1_cat.coordSorted.bam","FIRST_OF_PAIR",41634807,41634807,1,0,41634807,1,2856144321,37567356,2576698659,2565683258,0,0.002698,0.002651,0.000131,69,41634807,1,0,0.504318,0.003373,0,NA,NA,NA
