"","FILE_NAME","UNKNOWN","LIBRARY","UNPAIRED_READS_EXAMINED","READ_PAIRS_EXAMINED","UNMAPPED_READS","UNPAIRED_READ_DUPLICATES","READ_PAIR_DUPLICATES","READ_PAIR_OPTICAL_DUPLICATES","PERCENT_DUPLICATION","ESTIMATED_LIBRARY_SIZE"
"1","39673_ACC_cat.coordSorted.bam","Unknown","Library",0,46666715,0,0,14771815,11810825,0.316539,193365531
"2","39673_DLPFC_cat.coordSorted.bam","Unknown","Library",0,35786959,0,0,12451966,8447820,0.347947,83977047
"3","39673_HC_cat.coordSorted.bam","Unknown","Library",0,46795154,0,0,17333814,14467843,0.370419,171378290
"4","39673_V1_cat.coordSorted.bam","Unknown","Library",0,45565884,0,0,12740022,10698359,0.279596,285994211
"5","39813_ACC_cat.coordSorted.bam","Unknown","Library",0,45050934,0,0,14017022,11314097,0.311137,199142348
"6","39813_DLPFC_cat.coordSorted.bam","Unknown","Library",0,34823064,0,0,11943155,8180808,0.342967,85223550
"7","39813_HC_cat.coordSorted.bam","Unknown","Library",0,44215758,0,0,14892468,11829391,0.336814,160238136
"8","39813_V1_cat.coordSorted.bam","Unknown","Library",0,45792443,0,0,11182831,8709464,0.244207,265487440
"9","39827_ACC_cat.coordSorted.bam","Unknown","Library",0,50692963,0,0,15863933,12557240,0.312942,207002895
"10","39827_DLPFC_cat.coordSorted.bam","Unknown","Library",0,73649256,0,0,22839814,15962641,0.310116,222304039
"11","39827_HC_cat.coordSorted.bam","Unknown","Library",0,44656366,0,0,14828484,11589797,0.332058,157590486
"12","39827_V1_cat.coordSorted.bam","Unknown","Library",0,40459822,0,0,11498822,9027976,0.284203,189302991
"13","39988_ACC_cat.coordSorted.bam","Unknown","Library",0,45512828,0,0,14153746,11221286,0.310984,188897562
"14","39988_DLPFC_cat.coordSorted.bam","Unknown","Library",0,32011850,0,0,13749481,10395569,0.429512,62250513
"15","39988_HC_cat.coordSorted.bam","Unknown","Library",0,41356485,0,0,12815861,9992033,0.309888,163563849
"16","39988_V1_cat.coordSorted.bam","Unknown","Library",0,47255002,0,0,12058249,9668292,0.255174,282895582
"17","40212_ACC_cat.coordSorted.bam","Unknown","Library",0,46217831,0,0,14556894,11663909,0.314963,194670374
"18","40212_DLPFC_cat.coordSorted.bam","Unknown","Library",0,35642638,0,0,14325904,10439468,0.401932,73083298
"19","40212_HC_cat.coordSorted.bam","Unknown","Library",0,41448629,0,0,13165519,10490487,0.317635,168664005
"20","40212_V1_cat.coordSorted.bam","Unknown","Library",0,35875909,0,0,11128272,8818081,0.310188,149301922
"21","40295_ACC_cat.coordSorted.bam","Unknown","Library",0,44292341,0,0,12243610,9669317,0.276427,221141660
"22","40295_DLPFC_cat.coordSorted.bam","Unknown","Library",0,86393935,0,0,34758611,26690669,0.402327,200519070
"23","40295_HC_cat.coordSorted.bam","Unknown","Library",0,51599510,0,0,15503616,12418502,0.300461,235560452
"24","40295_V1_cat.coordSorted.bam","Unknown","Library",0,47185655,0,0,13130863,10565240,0.278281,248995784
"25","40302_ACC_cat.coordSorted.bam","Unknown","Library",0,48644095,0,0,14308100,11158240,0.294138,210377250
"26","40302_DLPFC_cat.coordSorted.bam","Unknown","Library",0,88220853,0,0,38168830,30493000,0.432651,197375560
"27","40302_HC_cat.coordSorted.bam","Unknown","Library",0,44539892,0,0,15168815,12216747,0.340567,166011376
"28","40302_V1_cat.coordSorted.bam","Unknown","Library",0,48332238,0,0,17697556,14974544,0.366165,193043280
"29","40318_ACC_cat.coordSorted.bam","Unknown","Library",0,38271247,0,0,10899265,8395613,0.28479,168146089
"30","40318_DLPFC_cat.coordSorted.bam","Unknown","Library",0,38611428,0,0,15817056,11228593,0.409647,72298845
"31","40318_HC_cat.coordSorted.bam","Unknown","Library",0,50245720,0,0,15946435,12692050,0.317369,203965962
"32","40318_V1_cat.coordSorted.bam","Unknown","Library",0,47805274,0,0,12675458,9946545,0.265148,249833366
"33","40335_ACC_cat.coordSorted.bam","Unknown","Library",0,44576511,0,0,13064859,10211104,0.293088,195295948
"34","40335_DLPFC_cat.coordSorted.bam","Unknown","Library",0,75475130,0,0,19788557,13395401,0.262186,280338313
"35","40335_HC_cat.coordSorted.bam","Unknown","Library",0,42107596,0,0,12357578,9702235,0.293476,186778669
"36","40335_V1_cat.coordSorted.bam","Unknown","Library",0,58080263,0,0,20357267,16761374,0.350502,223406376
"37","40360_ACC_cat.coordSorted.bam","Unknown","Library",0,50347221,0,0,17676150,14665283,0.351085,199365002
"38","40360_DLPFC_cat.coordSorted.bam","Unknown","Library",0,40725012,0,0,13950852,9687483,0.342562,102375525
"39","40360_HC_cat.coordSorted.bam","Unknown","Library",0,54089560,0,0,18018142,14351403,0.333117,201870003
"40","40360_V1_cat.coordSorted.bam","Unknown","Library",0,43777521,0,0,17046506,14530997,0.389389,160121719
"41","40390_ACC_cat.coordSorted.bam","Unknown","Library",0,43059320,0,0,12250269,9608127,0.284498,200452944
"42","40390_DLPFC_cat.coordSorted.bam","Unknown","Library",0,49328898,0,0,21615085,16057231,0.438183,88158810
"43","40390_HC_cat.coordSorted.bam","Unknown","Library",0,44918482,0,0,15789504,12228894,0.351515,138953104
"44","40390_V1_cat.coordSorted.bam","Unknown","Library",0,52246418,0,0,16896654,14166657,0.323403,252729535
"45","40478_ACC_cat.coordSorted.bam","Unknown","Library",0,44513106,0,0,13528058,10506886,0.303912,179874781
"46","40478_DLPFC_cat.coordSorted.bam","Unknown","Library",0,31913034,0,0,11666341,8031116,0.365567,70266272
"47","40478_HC_cat.coordSorted.bam","Unknown","Library",0,48162607,0,0,15931374,13142840,0.330783,208062513
"48","40478_V1_cat.coordSorted.bam","Unknown","Library",0,40205896,0,0,13390299,11594251,0.333043,218256051
"49","40482_ACC_cat.coordSorted.bam","Unknown","Library",0,54887294,0,0,18894699,15426832,0.344245,211152299
"50","40482_DLPFC_cat.coordSorted.bam","Unknown","Library",0,42964978,0,0,18522192,14003960,0.4311,82889312
"51","40482_HC_cat.coordSorted.bam","Unknown","Library",0,49305524,0,0,15564767,12522940,0.31568,209954668
"52","40482_V1_cat.coordSorted.bam","Unknown","Library",0,41634807,0,0,10240320,8094212,0.245956,250792058
