"","FileName","PF_BASES","PF_ALIGNED_BASES","RIBOSOMAL_BASES","CODING_BASES","UTR_BASES","INTRONIC_BASES","INTERGENIC_BASES","IGNORED_READS","CORRECT_STRAND_READS","INCORRECT_STRAND_READS","PCT_RIBOSOMAL_BASES","PCT_CODING_BASES","PCT_UTR_BASES","PCT_INTRONIC_BASES","PCT_INTERGENIC_BASES","PCT_MRNA_BASES","PCT_USABLE_BASES","PCT_CORRECT_STRAND_READS","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","SAMPLE","LIBRARY","READ_GROUP"
"1","39673_ACC_cat.coordSorted.bam",6440006670,6403477819,2266703517,804405263,587596751,2744772288,0,0,0,0.35398,0.12562,0.091762,0.428638,0.4796,0.47688,0,0.332938,0.68464,0.731156,0.925627,NA,NA,NA,NA,NA
"2","39673_DLPFC_cat.coordSorted.bam",4938600342,4906212557,1775594498,562928818,372453638,2195235603,0,0,0,0.361907,0.114738,0.075915,0.44744,0.476645,0.473519,0,0.624458,0.800901,0.387167,1.90043,NA,NA,NA,NA,NA
"3","39673_HC_cat.coordSorted.bam",6457731252,6420791950,2075823096,719557008,506257407,3119154439,0,0,0,0.323297,0.112067,0.078847,0.48579,0.435364,0.432873,0,0.355004,0.64442,0.712326,0.921679,NA,NA,NA,NA,NA
"4","39673_V1_cat.coordSorted.bam",6288091992,6252405931,1401614014,446237331,1366188932,3038365654,0,0,0,0.224172,0.07137,0.218506,0.485951,0.295542,0.293865,0,0.347156,0.642645,0.721192,0.893785,NA,NA,NA,NA,NA
"5","39813_ACC_cat.coordSorted.bam",6217028892,6182757889,2173166371,753386960,542758805,2713445753,0,0,0,0.351488,0.121853,0.087786,0.438873,0.473341,0.470732,0,0.347755,0.667941,0.733824,0.920143,NA,NA,NA,NA,NA
"6","39813_DLPFC_cat.coordSorted.bam",4805582832,4774970704,1650869901,578593490,458866447,2086640866,0,0,0,0.345734,0.121172,0.096098,0.436996,0.466906,0.463932,0,0.654637,0.724173,0.394247,1.707452,NA,NA,NA,NA,NA
"7","39813_HC_cat.coordSorted.bam",6101774604,6067201710,2090573031,732542682,451323313,2792762684,0,0,0,0.34457,0.120738,0.074387,0.460305,0.465308,0.462671,0,0.339207,0.632343,0.718302,0.886522,NA,NA,NA,NA,NA
"8","39813_V1_cat.coordSorted.bam",6319357134,6284206312,1993862534,678383830,983700328,2628259620,0,0,0,0.317282,0.107951,0.156535,0.418233,0.425232,0.422867,0,0.350147,0.617258,0.732845,0.858866,NA,NA,NA,NA,NA
"9","39827_ACC_cat.coordSorted.bam",6995628894,6958239953,2598899269,845516570,586709834,2927114280,0,0,0,0.3735,0.121513,0.084319,0.420669,0.495013,0.492367,0,0.3678,0.642849,0.701886,0.931089,NA,NA,NA,NA,NA
"10","39827_DLPFC_cat.coordSorted.bam",10163597328,10110305303,4259347204,1135436691,987372183,3728149225,0,0,0,0.421288,0.112305,0.09766,0.368747,0.533593,0.530795,0,0.430989,0.761829,0.600736,1.169897,NA,NA,NA,NA,NA
"11","39827_HC_cat.coordSorted.bam",6162578508,6129244848,2183077451,722626495,593864281,2629676621,0,0,0,0.356174,0.117898,0.09689,0.429038,0.474072,0.471508,0,0.338798,0.643181,0.697953,0.950931,NA,NA,NA,NA,NA
"12","39827_V1_cat.coordSorted.bam",5583455436,5553496105,1704588565,573713898,802491582,2472702060,0,0,0,0.30694,0.103307,0.144502,0.445251,0.410247,0.408045,0,0.357317,0.648813,0.694129,0.928828,NA,NA,NA,NA,NA
"13","39988_ACC_cat.coordSorted.bam",6280770264,6245010370,2294913535,803613019,492073070,2654410746,0,0,0,0.36748,0.128681,0.078795,0.425045,0.49616,0.493335,0,0.346622,0.654436,0.704489,0.934241,NA,NA,NA,NA,NA
"14","39988_DLPFC_cat.coordSorted.bam",4417635300,4390052878,1582649203,420133013,341148542,2046122120,0,0,0,0.360508,0.095701,0.077709,0.466081,0.456209,0.453361,0,0.742658,0.743554,0.403638,1.581417,NA,NA,NA,NA,NA
"15","39988_HC_cat.coordSorted.bam",5707194930,5676698529,1949092302,675547936,521476007,2530582284,0,0,0,0.34335,0.119004,0.091863,0.445784,0.462353,0.459883,0,0.339077,0.639328,0.731631,0.902676,NA,NA,NA,NA,NA
