TE	39673_ACC	39673_DLPFC	39673_HC	39673_V1	39813_ACC	39813_DLPFC	39813_HC	39813_V1	39827_ACC	39827_DLPFC	39827_HC	39827_V1	39988_ACC	39988_DLPFC	39988_HC	39988_V1	40212_ACC	40212_DLPFC	40212_HC	40212_V1	40295_ACC	40295_DLPFC	40295_HC	40295_V1	40302_ACC	40302_DLPFC	40302_HC	40302_V1	40318_ACC	40318_DLPFC	40318_HC	40318_V1	40335_ACC	40335_DLPFC	40335_HC	40335_V1	40360_ACC	40360_DLPFC	40360_HC	40360_V1	40390_ACC	40390_DLPFC	40390_HC	40390_V1	40478_ACC	40478_DLPFC	40478_HC	40478_V1	40482_ACC	40482_DLPFC	40482_HC	40482_V1
ALU	42.8349	591.272	42.4474	98.1108	62.6494	247.305	67.6593	47.6204	65.8063	82.23	44.1565	34.1985	69.247	424.708	86.692	41.3894	41.9412	286.97	46.714	74.1963	25.1136	54.7687	30.9221	88.5442	36.4035	114.661	39.8542	74.6528	40.1628	267.499	43.4023	45.7447	47.9512	84.5332	30.2747	63.0497	39.1326	423.295	33.634	29.1884	53.396	337.302	42.5187	44.9161	40.9008	255.967	64.4758	47.5756	29.4029	406.558	40.1936	77.7608
Alu1_OG	136.285	1068.57	205.631	318.716	146.893	1239.32	143.725	245.612	301.544	322.08	212.053	229.96	194.385	1166.7	132.971	223.913	157.022	1223.77	181.996	318.626	194.18	189.841	146.43	301.891	177.785	326.935	158.96	324.867	277.856	1266.91	173.024	184.98	208.617	315.112	158.443	244.703	187.257	1371.97	167.837	108.499	274.936	1408.18	179.883	199.004	192.683	1198.62	139.945	209.122	143.673	1143.87	139.384	259.772
Alu1_TS	2419.49	26260	4029.64	5969.44	2338.8	25528.7	2558.83	4465.32	4805.48	5644.69	4193.23	4274.55	3210.74	25656.4	2584.69	4257.02	2566.65	25791.9	3395.93	5730.04	3093.86	3661.74	2915.03	6277.51	2665.96	6580.76	3130.07	6388.78	4615.95	25329.2	3052.75	3524.2	3188.48	5566.47	3067.86	4654.3	3165.01	26279.5	3085.49	2182.67	4460.52	26137.6	3339.29	3940.63	3044.59	26523.4	2569.41	3873.43	2467.09	26259.4	2816.04	5144.62
Alu2_OG	14.7706	203.952	38.1557	45.1819	14.5165	114.79	21.3335	32.8284	39.2409	38.6844	39.6904	30.4152	31.3631	108.435	13.2434	31.4328	22.1009	92.8659	34.5276	39.6351	24.9922	24.9306	26.1594	49.2398	21.3901	41.7229	28.1756	56.8077	39.4599	59.5216	26.4468	28.8339	17.6691	38.2521	21.028	26.0713	24.5883	184.165	19.7716	11.9232	33.9552	153.098	22.3463	31.4357	23.7404	113.569	23.2862	20.515	18.1784	159.544	26.1788	41.2544
Alu2_TS	842.249	10088	1278.33	2262.13	868.148	10539.4	901.139	1600.97	1710.36	1993.64	1260.71	1617.35	1036.31	9769.81	835.863	1469.65	858.656	10331.5	1132.4	2049.06	1083.3	1395.74	1011.67	2329.84	901.543	2363.02	1084.65	2311.21	1746.85	10003.2	957.967	1296.65	1078.48	2072.32	985.21	1614.52	1109.38	9930.32	1028.52	802.048	1451.69	9465.36	1077.36	1359.14	1088.63	10374.4	852.834	1399.6	852.531	10809.2	900.033	2067.46
Alu3_TS	63.8293	601.477	108.763	153.809	78.1993	758.275	83.4637	110.784	143.32	141.427	95.4416	100.659	85.101	726.361	67.9091	96.9914	72.4653	892.222	87.413	113.704	77.6861	92.4068	69.443	170.702	78.6831	169.58	83.6408	149.645	135.58	848.703	70.8517	88.0686	90.7769	136.878	78.9836	113.117	88.5149	623.165	81.9135	54.2682	124.287	644.374	78.9108	103.099	82.7072	680.167	70.8572	83.6485	76.2661	673.556	73.2233	135.726
AluJb	714.611	7449.92	1132.5	2227.72	702.297	7202.24	681.751	1364.11	1270.76	1708.26	1184.23	1285.2	879.09	7156.77	711.862	1304.44	715.699	6731.52	994.683	1684.62	910.111	1071.97	857.789	2009.14	740.21	2010.98	877.502	2046.85	1218.92	6559.02	831.827	1090.58	894.548	1759.28	850.947	1391.13	916.083	6523.95	892.855	717.41	1173.97	7479.78	917.565	1221.88	848.382	7930.97	729.985	1279.73	663.118	7868.53	693.918	1637.49
AluJo	4.24101	81.6895	17.8888	8.79874	2.46171	42.4232	0.803205	4.00921	11.7201	33.0292	23.7438	14.9076	1.73034	20.5755	1.57704	5.02928	11.7096	62.7332	1.76441	20.8035	4.52949	3.31386	7.6392	0.698064	5.46486	38.7592	18.4926	26.7142	17.269	90.0239	4.26905	11.2718	5.46576	31.5769	14.7497	0.384136	16.9567	31.0032	14.0401	14.4961	8.2538	89.4465	14.9446	6.09103	6.16993	39.722	1.89542	2.56234	5.87539	74.9376	2.72297	11.9499
AluJr	28.5818	347.534	36.2597	99.1973	34.3905	198.177	24.8718	55.0903	39.8139	67.2327	43.8307	64.4191	29.4537	188.025	31.5294	45.6398	36.3952	215.692	23.4907	82.8363	31.639	38.1693	33.9756	91.1034	29.992	76.1109	32.4784	82.6401	46.0944	126.713	24.3077	45.6197	18.8439	65.3797	36.8676	54.3262	34.2636	61.5336	25.3464	34.3065	33.926	126.309	40.4551	48.9006	22.532	194.742	35.4845	48.7007	23.5178	271.531	17.8837	81.7652
AluJr4	238.071	2157.09	370.915	601.604	234.805	2204.87	226.131	429.364	384.673	469.752	364.23	371.523	253.654	1874.69	192.119	361.98	237.298	1738.21	297.107	486.38	292.283	342.03	275.592	595.388	224.654	602.258	286.475	553.541	438.517	2073.85	295.761	304.676	289.064	469.041	269.497	398.373	292.617	2384.17	292.223	213.787	393.144	2160.91	302.752	361.98	291.27	2614.56	213.665	368.114	234.215	2380.27	259.125	526.151
