TE	39673_ACC	39673_DLPFC	39673_HC	39673_V1	39813_ACC	39813_DLPFC	39813_HC	39813_V1	39827_ACC	39827_DLPFC	39827_HC	39827_V1	39988_ACC	39988_DLPFC	39988_HC	39988_V1	40212_ACC	40212_DLPFC	40212_HC	40212_V1	40295_ACC	40295_DLPFC	40295_HC	40295_V1	40302_ACC	40302_DLPFC	40302_HC	40302_V1	40318_ACC	40318_DLPFC	40318_HC	40318_V1	40335_ACC	40335_DLPFC	40335_HC	40335_V1	40360_ACC	40360_DLPFC	40360_HC	40360_V1	40390_ACC	40390_DLPFC	40390_HC	40390_V1	40478_ACC	40478_DLPFC	40478_HC	40478_V1	40482_ACC	40482_DLPFC	40482_HC	40482_V1
ALU	150.946	113.996	151.296	142.865	149.287	119.043	144.467	140.079	148.137	116.051	139.089	146.061	145.8	114.389	148.245	141.909	149.062	117.186	142.234	140.22	139.355	116.013	142.7	145.821	143.569	123.788	144.315	143.47	153.929	116.98	155.345	142.075	144.765	149.742	147.59	143.342	134.948	112.833	140.132	152.766	148.754	116.263	141.231	142.25	140.074	117.447	143.764	135.614	148.306	119.421	152.715	139.309
Alu1_OG	149.99	113.213	150.336	141.909	148.348	118.183	143.519	139.2	147.22	115.256	138.195	145.119	144.833	113.677	147.291	140.974	148.123	116.553	141.331	139.28	138.465	115.156	141.804	144.915	142.663	123.015	143.413	142.568	152.955	116.148	154.365	141.13	143.842	148.809	146.675	142.39	134.009	112.111	139.228	151.827	147.832	115.435	140.35	141.283	139.238	116.625	142.839	134.767	147.362	118.648	151.78	138.391
Alu1_TS	149.019	112.414	149.363	140.963	147.405	117.328	142.544	138.344	146.292	114.499	137.275	144.188	143.918	112.973	146.36	140.037	147.169	115.93	140.419	138.36	137.582	114.336	140.867	143.999	141.746	122.232	142.515	141.642	151.977	115.359	153.389	140.196	142.898	147.879	145.784	141.463	133.14	111.456	138.367	150.887	146.925	114.613	139.48	140.313	138.402	115.844	141.916	133.908	146.417	117.918	150.824	137.47
Alu2_OG	104.917	76.9572	103.667	96.6911	103.236	80.9838	98.8685	95.2741	100.464	79.0217	93.241	99.6635	102.143	78.7616	102.483	96.4584	102.919	80.3516	95.602	94.734	94.5011	79.809	98.138	100.061	98.1356	85.2861	98.7666	97.8946	105.398	79.2188	108.09	95.8188	99.58	101.536	103.021	98.0458	90.5663	76.9448	94.5696	105.605	101.81	79.5843	96.4376	96.4913	95.176	79.8892	97.9518	91.2722	102.256	81.523	105.391	93.8401
Alu2_TS	151.897	114.724	152.234	143.817	150.228	119.904	145.389	140.98	149.049	116.859	139.976	147.004	146.771	115.125	149.215	142.834	149.995	117.831	143.154	141.173	140.24	116.837	143.55	146.73	144.468	124.558	145.221	144.365	154.895	117.818	156.322	143.036	145.693	150.683	148.534	144.312	135.902	113.612	141.063	153.704	149.701	117.08	142.143	143.222	140.947	118.253	144.693	136.469	149.243	120.224	153.617	140.228
Alu3_TS	166.113	126.667	166.711	157.941	164.367	131.708	159.613	154.814	163.467	128.531	154.007	160.966	160.21	125.811	163.556	156.62	163.88	129.22	157.329	155.397	153.843	128.498	157.111	160.745	158.481	136.266	159.3	158.31	169.616	129.435	170.58	157.204	159.437	165.075	162.574	158.269	149.725	125.316	154.877	167.799	164.227	128.899	156.308	157.082	154.78	130.895	158.738	150.147	163.497	132.38	168.161	154.325
AluJb	151.897	114.724	152.234	143.817	150.228	119.904	145.389	140.98	149.049	116.859	139.976	147.004	146.771	115.125	149.215	142.834	149.995	117.831	143.154	141.173	140.24	116.837	143.55	146.73	144.468	124.558	145.221	144.365	154.895	117.818	156.322	143.036	145.693	150.683	148.534	144.312	135.902	113.612	141.063	153.704	149.701	117.08	142.143	143.222	140.947	118.253	144.693	136.469	149.243	120.224	153.617	140.228
AluJo	151.897	114.724	152.234	143.817	150.228	119.904	145.389	140.98	149.049	116.859	139.976	147.004	146.771	115.125	149.215	142.834	149.995	117.831	143.154	141.173	140.24	116.837	143.55	146.73	144.468	124.558	145.221	144.365	154.895	117.818	156.322	143.036	145.693	150.683	148.534	144.312	135.902	113.612	141.063	153.704	149.701	117.08	142.143	143.222	140.947	118.253	144.693	136.469	149.243	120.224	153.617	140.228
AluJr	153.825	116.046	154.113	145.692	152.136	121.621	147.258	142.817	150.93	118.455	141.847	148.875	148.613	116.538	151.175	144.652	151.831	119.035	145.033	143.114	141.942	118.215	145.2	148.582	146.331	126.058	147.066	146.244	156.852	119.407	158.233	144.956	147.577	152.59	150.388	146.267	137.748	115.138	142.904	155.616	151.638	118.709	144.001	145.138	142.775	119.775	146.562	138.236	151.088	121.898	155.422	142.064
AluJr4	153.825	116.046	154.113	145.692	152.136	121.621	147.258	142.817	150.93	118.455	141.847	148.875	148.613	116.538	151.175	144.652	151.831	119.035	145.033	143.114	141.942	118.215	145.2	148.582	146.331	126.058	147.066	146.244	156.852	119.407	158.233	144.956	147.577	152.59	150.388	146.267	137.748	115.138	142.904	155.616	151.638	118.709	144.001	145.138	142.775	119.775	146.562	138.236	151.088	121.898	155.422	142.064
