TE	39673_ACC	39673_DLPFC	39673_HC	39673_V1	39813_ACC	39813_DLPFC	39813_HC	39813_V1	39827_ACC	39827_DLPFC	39827_HC	39827_V1	39988_ACC	39988_DLPFC	39988_HC	39988_V1	40212_ACC	40212_DLPFC	40212_HC	40212_V1	40295_ACC	40295_DLPFC	40295_HC	40295_V1	40302_ACC	40302_DLPFC	40302_HC	40302_V1	40318_ACC	40318_DLPFC	40318_HC	40318_V1	40335_ACC	40335_DLPFC	40335_HC	40335_V1	40360_ACC	40360_DLPFC	40360_HC	40360_V1	40390_ACC	40390_DLPFC	40390_HC	40390_V1	40478_ACC	40478_DLPFC	40478_HC	40478_V1	40482_ACC	40482_DLPFC	40482_HC	40482_V1
ALU	136.842	88.2015	71.154	217.234	191.224	36.6419	169.387	112.337	112.8	176.334	89.4066	71.3308	149.401	44.783	215.58	104.519	119.777	36.8549	104.495	86.3963	59.9524	176.661	109.59	164.022	101.11	200.375	101.79	114.621	56.9448	40.074	131.959	123.159	111.88	254.919	80.2808	158.928	94.3854	65.2887	107.458	127.637	79.0542	55.3586	111.22	111.505	105.189	40.2892	225.673	135.268	99.8061	61.6806	109.787	141.538
Alu1_OG	432.624	158.307	342.51	700.971	445.541	182.297	357.46	575.765	513.684	685.937	426.6	476.553	416.604	122.257	328.533	561.715	445.602	156.317	404.524	368.53	460.597	607.826	515.706	555.756	490.676	567.763	403.46	495.664	391.463	188.447	522.741	494.71	483.641	944.338	417.546	612.724	448.506	210.256	532.77	471.536	404.526	229.467	467.601	490.673	492.586	187.342	486.673	590.866	484.581	172.418	378.391	469.713
Alu1_TS	7630.74	3862.91	6668.55	13041.4	7048.71	3727.97	6320.84	10403.2	8134.59	11942.7	8379.58	8801.47	6837.77	2671.83	6345.69	10608.3	7236.81	3276.9	7499.5	6583.73	7291.85	11640.5	10198.4	11483.4	7310.66	11355.5	7894.69	9684.29	6461.71	3742	9164.61	9362.73	7343.42	16577.4	8035.6	11578.2	7531.54	4003.86	9733.77	9427.15	6522.67	4228.86	8626.61	9649.49	7736.6	4117.8	8877.62	10874.5	8267.7	3933.77	7596.65	9240.43
Alu2_OG	32.7977	20.5388	43.8252	67.7078	30.6407	11.5703	36.5516	52.6722	45.6169	56.4858	53.8736	43.2873	47.4049	7.87265	22.7666	53.9536	43.5785	8.17777	51.9134	31.1809	40.4592	55.3204	63.7596	62.5896	40.6097	50.2341	49.2497	59.5146	38.3087	6.03854	55.9486	52.3553	28.358	78.2183	38.922	44.9508	39.8009	19.3707	42.6302	36.0428	34.4067	17.1997	39.914	52.936	41.4856	12.1594	55.5322	39.2569	42.5454	16.5237	49.3473	50.5815
Alu2_TS	2707.64	1514.45	2156.12	5042.14	2666.54	1572.86	2270.44	3801.01	2949.81	4304.93	2568.93	3395.21	2250.73	1036.8	2092.17	3735.47	2467.53	1334.16	2549.46	2402.2	2602.53	4534.04	3606.82	4342.76	2519.7	4155.13	2787.68	3570.76	2492.3	1509.31	2930.9	3514.57	2532.45	6288.59	2629.23	4097.25	2694.66	1542.21	3307.86	3528.79	2162.94	1564.38	2836.33	3397.15	2817.2	1644.15	3004.32	4004.45	2912.14	1650.93	2472.92	3787.95
Alu3_TS	224.401	99.6965	200.893	376.5	262.797	124.303	230.861	288.832	271.091	335.89	213.974	231.376	201.752	84.2381	186.313	270.32	227.521	126.353	216.287	146.731	204.737	330.144	270.966	348.577	241.24	326.217	235.807	253.53	211.822	140.682	236.542	262.355	233.267	455.038	230.708	314.824	236.869	106.749	289.245	260.661	203.149	117.249	228.45	282.633	235.038	119.317	273.84	263.317	285.396	113.277	220.234	273.673
AluJb	2297.31	1118.42	1910.16	4965.43	2157.12	1074.83	1717.69	3238.65	2191.64	3688.71	2413.09	2697.94	1909.27	759.496	1781.79	3315.53	2056.71	869.276	2239.41	1974.95	2186.46	3482.28	3058.2	3744.98	2068.8	3536.1	2255.27	3162.33	1739.08	989.646	2544.97	2956.01	2100.54	5338.66	2270.92	3530.32	2225.15	1013.19	2871.56	3156.41	1749.15	1236.21	2415.65	3054.06	2195.47	1256.9	2571.55	3661.5	2265.13	1201.79	1906.6	3000.17
AluJo	13.6339	12.2636	30.1726	19.6118	7.56121	6.33107	2.02369	9.51863	20.2133	71.3212	48.3824	31.2946	3.75806	2.18353	3.94733	12.7831	33.65	8.10105	3.97236	24.3888	10.8817	10.765	27.2354	1.30117	15.2736	68.1541	47.5279	41.2727	24.6384	13.5831	13.0612	30.5523	12.8345	95.822	39.3626	0.97484	41.1875	4.81489	45.1549	63.7786	12.2977	14.7832	39.3444	15.2244	15.9667	6.29516	6.67709	7.33121	20.0696	11.4455	7.4816	21.8943
AluJr	93.0502	52.7747	61.9136	223.988	106.973	29.9987	63.4704	132.499	69.5327	147.161	90.5068	136.953	64.7723	20.1987	79.9548	117.48	105.869	28.1381	53.5806	98.4478	76.9321	125.455	122.522	171.958	84.9048	135.445	84.5337	129.338	66.5959	19.3768	75.2782	125.312	44.8205	200.91	99.6167	139.734	84.3558	9.68476	82.5818	152.816	51.2021	21.1661	107.897	123.861	59.0654	31.26	126.617	141.144	81.3266	42.0496	49.7141	151.77
AluJr4	775.056	327.564	633.338	1358.42	730.37	333.758	577.064	1032.67	671.809	1028.21	752.106	789.848	557.816	201.389	487.192	931.763	690.272	226.758	677.681	578.045	710.703	1124.18	993.834	1123.8	635.976	1071.76	745.627	866.336	633.558	317.13	915.94	836.91	687.544	1441.35	728.185	1024.66	720.413	375.243	952.099	952.301	593.344	362.114	807.466	916.864	763.536	419.69	762.409	1066.86	809.935	368.61	720.332	976.624
