TE	39673_ACC	39673_DLPFC	39673_HC	39673_V1	39813_ACC	39813_DLPFC	39813_HC	39813_V1	39827_ACC	39827_DLPFC	39827_HC	39827_V1	39988_ACC	39988_DLPFC	39988_HC	39988_V1	40212_ACC	40212_DLPFC	40212_HC	40212_V1	40295_ACC	40295_DLPFC	40295_HC	40295_V1	40302_ACC	40302_DLPFC	40302_HC	40302_V1	40318_ACC	40318_DLPFC	40318_HC	40318_V1	40335_ACC	40335_DLPFC	40335_HC	40335_V1	40360_ACC	40360_DLPFC	40360_HC	40360_V1	40390_ACC	40390_DLPFC	40390_HC	40390_V1	40478_ACC	40478_DLPFC	40478_HC	40478_V1	40482_ACC	40482_DLPFC	40482_HC	40482_V1
srpRNA	4018221.78263	15284.0893904	2515610.68336	2123604.47526	3801734.70278	15315.5343686	3512993.92641	2850836.58652	2764072.50914	2251232.6954	2743217.83675	3079400.99518	3475842.64162	4040.32134114	3401201.34137	2942371.38975	3623140.18351	11790.1304235	3407605.46997	1654838.56004	2834160.49461	5251072.64219	4277329.70266	2797482.12169	3409873.05822	2677282.32419	4040385.1827	2123238.5268	2674522.33901	17880.3817548	3882356.33421	2939997.80901	2905608.17377	4339460.51177	3605789.87791	3757684.16579	3153997.63681	13616.3698495	3889428.2457	5380481.18882	3007009.02709	14474.8498134	3925163.04674	3046993.85493	2884015.58498	21390.865782	4504962.40742	2791365.40354	4300141.87444	15260.4881582	4646051.41258	2752421.68872
LTR	1058973.13302	605852.650445	858553.332015	2424685.35602	1001376.52153	592352.820657	804262.02841	1781003.86046	1123632.26567	1845047.42206	1012011.27225	1405717.19741	919685.954474	487017.279768	890519.330322	1728298.90742	1026662.1303	566130.162658	966051.524676	1045103.80627	1129433.49335	2019902.49461	1427380.10184	1896279.37331	1072981.21205	1983366.88887	1066525.32166	1645720.66802	896711.749474	616293.26826	1223196.05631	1482055.23607	1099106.85848	2832329.64969	1116038.41367	1815027.72775	1138166.49481	615291.981839	1293406.55432	1470544.08489	971936.702758	744836.917474	1147710.86181	1543116.38638	1228779.83438	643066.922916	1226897.84316	2033359.42236	1155849.52065	666167.609882	990523.422947	1478911.54282
Satellite	8116.22454366	6697.54255016	7443.70149157	9534.92670079	6892.74844311	5543.85255535	6433.83753572	8572.20917795	8791.43001689	14553.4175535	7818.60869591	7572.91201443	7678.70204161	7388.23128542	6294.81524122	8712.96922087	8695.62605629	7360.87209574	6906.44905852	6056.20727633	7363.51423535	14595.2257724	8815.05836493	10483.4110308	8305.70860399	15068.6152218	7839.64393584	9111.05265678	5607.09281169	6705.29030216	8084.37099394	8134.37870423	7529.72964093	15204.3404687	7559.99006271	10597.7075203	7578.77982338	7427.00628142	8933.78285454	6812.09947884	7326.55968783	9063.74947222	8369.85954661	8914.99829184	6838.19547991	6154.65077401	8469.01384765	6893.83556266	9487.32849101	8835.57965653	8167.89602204	10772.9827857
rRNA	3718478.16886	1259502.4678	8091057.91886	9153383.32692	4023185.16886	1157389.29219	4278609.54188	3332128.30483	4700261.5325	4653417.79303	4650400.83553	3314159.52393	3080476.00219	588770.252195	2567265.01145	3708837.99435	4533220.10102	857657.002195	3144910.00219	5132624.00219	4458546.69508	9375084.04029	2598179.50883	3926316.24578	3990910.25219	13394596.5323	3909514.0905	11751968.5022	2860840.05795	1266998.07078	4164908.66886	4152132.00219	4485151.00219	5372627.55219	2490389.08553	7554423.50219	7858303.04066	920697.252195	4791987.47839	5776787.20219	3086841.66886	1238003.52347	3726529.50219	8626729.52347	3827892.05219	1229421.83553	4467747.63504	9895567.0895	6092643.55377	1016678.83553	4577937.1945	2227984.70458
DNA	942261.878165	534143.137438	772230.388441	1789199.42713	873742.500958	533909.849075	773804.884611	1435252.87382	969597.032451	1517972.29147	911432.156705	1154062.90905	847705.816015	397881.623245	834870.749836	1370479.4137	919041.204904	463909.877913	856819.466287	878660.445814	978738.364369	1613072.87961	1193374.53125	1501578.86353	970300.212702	1590208.65221	921942.597232	1318876.90225	768689.848841	502828.880166	1062049.93311	1203488.41871	993811.655481	2279897.17228	973447.619811	1449220.69737	981094.122972	523164.119276	1142932.7446	1247247.89838	854658.089355	601635.924613	997945.480715	1233331.79144	1019740.69024	543285.854742	1036916.93858	1524370.98132	1004147.673	576698.679325	879512.257814	1227127.68851
snRNA	21068.0114721	2150.362971	42346.9318626	21462.8490274	16138.2060769	2305.02280708	21589.7845514	29818.9438268	16602.9244133	14167.7493156	16738.2077696	39688.8122845	12220.7294584	1780.29837462	23742.1635403	48465.8669978	19136.0100959	1907.09413871	22443.7529906	14611.5877745	14870.5482951	40619.2677586	48748.7885535	33966.3107632	17018.0598527	27586.5030708	26641.6395129	36086.5837445	13873.8111296	2192.19257876	31065.4518799	40731.4995593	13533.9862527	33282.7165307	28527.9377408	32094.929749	12088.0884116	2169.52097367	29175.6645684	57387.0929784	17026.693674	2461.51889739	20351.9228758	25713.4601598	15596.2494573	2393.09743403	41557.5126672	29442.6393925	21874.3488272	2556.3531795	23169.3547466	27750.4289448
SINE?	2.0007315289	0.000731528895391	0.000731528895391	4.0007315289	3.0007315289	0.000731528895391	8.0007315289	11.0007315289	5.0007315289	3.0007315289	5.0007315289	0.000731528895391	5.0007315289	2.0007315289	0.000731528895391	11.0007315289	2.0007315289	1.0007315289	6.0007315289	7.0007315289	1.0007315289	9.0007315289	8.0007315289	1.0007315289	1.0007315289	4.0007315289	5.0007315289	7.0007315289	4.0007315289	0.000731528895391	8.0007315289	4.0007315289	6.0007315289	7.0007315289	0.000731528895391	7.0007315289	5.0007315289	1.0007315289	1.0007315289	0.000731528895391	8.0007315289	0.000731528895391	5.0007315289	8.0007315289	4.0007315289	0.000731528895391	13.0007315289	6.0007315289	8.0007315289	2.0007315289	5.5007315289	4.0007315289
Unknown	9986.67179514	6493.72564426	7712.1798767	16115.2983468	9368.59157736	6091.7239901	8145.86028358	13439.9616751	10615.7760379	15755.1204665	8439.13561372	10394.6973122	9405.77631597	4703.50263971	8117.78682401	12328.8021999	9614.63252484	5655.67944561	8533.17569046	8255.00252174	10543.0803687	17220.6763818	11793.670675	13909.6344202	10521.6320842	16975.9029079	9381.61041719	12060.4666967	8630.45438307	5897.55656889	10793.6517472	11283.1199362	10893.5272762	23266.2375184	10248.8866955	13896.8063336	10876.96516	6656.47332426	11366.4427249	11213.7540718	9749.09441334	7658.29856395	10213.7900664	11992.0759798	11220.0129028	5618.20452736	10768.0698794	13926.3788106	10891.5246563	6762.00423459	10060.0773118	10949.2162592
RNA	1328870.00073	3569.33406486	1261588.04835	875707.553399	1297228.58485	3134.00073153	1295818.6145	1283405.93621	1334269.38828	911970.353086	1152244.00073	1667970.43495	1269152.18417	463.056287084	1425419.1674	1442628.44451	1264897.90351	1696.83406486	1225099.88962	1053563.77287	1127783.33406	2249012.74291	1526000.97642	1718720.77512	1380667.5293	1460564.13332	1334270.05073	1096891.88673	1125334.79636	2744.83406486	1413038.47298	1369176.82612	1165470.02776	1684865.49985	1007405.19179	1948135.88323	1402525.52346	2062.00073153	1412194.38243	2824241.48954	1347474.31087	2123.57765461	1178275.63184	1688305.14763	984618.413787	2415.83896682	1456849.35971	1486724.4174	1482265.33406	1836.00073153	1307803.85293	1857118.59105
DNA?	9936.32194587	6103.08444587	7787.1052792	13385.1791864	8837.52194587	6209.02194587	8543.52194587	13065.5219459	9953.64694587	15065.9151006	10157.0219459	10355.305325	9540.62194587	4467.50976425	9923.05319587	12226.9386125	9782.06040741	5470.52194587	8665.52297946	8294.11087867	10502.0988689	15881.5876833	11556.7952975	12567.0219459	10593.0695649	15732.6194274	9368.62194587	12089.403479	7846.09886894	5783.02194587	10863.4963361	11359.5886125	10780.0933744	20331.8089829	9513.21272682	13243.9108348	10283.680676	6110.68919325	11622.0219459	10877.0807694	9126.83755942	7162.85249213	10157.0219459	11326.084691	10717.3441681	5528.52194587	9300.0834989	11376.2997236	10742.5475869	6575.02194587	9020.52194587	10301.0219459
LTR?	10254.6030916	5188.90210444	8708.97717811	22628.5288896	9855.50439059	5101.583304	8689.31429487	17663.1183998	11102.4409868	16647.8564344	10664.2122152	14378.4348564	9032.45977786	3979.5043298	9728.02066425	16714.1208067	10058.9225273	4409.02723445	9756.56518084	10548.4355211	11269.1468847	18868.8106272	13858.0660935	17911.7228592	10646.0631536	18793.1372939	11079.8999049	16190.2429035	8579.0779498	4655.68949235	12320.2125566	14261.7884367	11257.7825021	27108.1731958	11528.9332959	17755.1255248	11539.1871055	5089.17437806	13554.3335159	15581.4332022	9842.53483322	5844.49846826	11753.8853357	14948.1674273	11895.1261318	5452.58039937	12066.255259	19989.5128619	11287.4724444	5618.05277565	9929.90816702	14381.3269357
